donanim,yakit,vites
2.0 252BG Executive Luxury xDrive,Benzin,Otomatik
2.0 252BG Executive M xDrive,Benzin,Otomatik
2.0 252BG Executive Prestige xDrive,Benzin,Otomatik
2.0 252BG Executive Sport xDrive,Benzin,Otomatik
3.0 340BG Executive Luxury xDrive,Benzin,Otomatik
3.0 340BG Executive M xDrive,Benzin,Otomatik
3.0 340BG Executive Prestige xDrive,Benzin,Otomatik
3.0 340BG Executive Sport xDrive,Benzin,Otomatik
3.0 313BG M Sport xDrive,Dizel,Otomatik
3.0 313BG Pure xDrive,Dizel,Otomatik
3.0 313BG Pure Excellence xDrive,Dizel,Otomatik
3.0 313BG Pure Experience xDrive,Dizel,Otomatik
3.0 313BG M Sport xDrive,Dizel,Otomatik
3.0 313BG Pure xDrive,Dizel,Otomatik
3.0 313BG Pure Excellence xDrive,Dizel,Otomatik
3.0 313BG Pure Experience xDrive,Dizel,Otomatik
3.0 313BG M Sport xDrive,Dizel,Otomatik
3.0 313BG Pure xDrive,Dizel,Otomatik
3.0 313BG Pure Excellence xDrive,Dizel,Otomatik
3.0 313BG Pure Experience xDrive,Dizel,Otomatik
2.0 231BG M Excellence,Dizel,Otomatik
2.0 231BG M Sport,Dizel,Otomatik
2.0 231BG Pure Excellence,Dizel,Otomatik
2.0 231BG M Excellence,Dizel,Otomatik
2.0 231BG M Sport,Dizel,Otomatik
2.0 231BG Pure Excellence,Dizel,Otomatik
3.0 265BG M Excellence xDrive,Dizel,Otomatik
3.0 265BG M Sport xDrive,Dizel,Otomatik
3.0 265BG Pure Excellence xDrive,Dizel,Otomatik
2.0 258BG M Excellence,Benzin,Otomatik
2.0 258BG M Sport,Benzin,Otomatik
2.0 258BG Pure Excellence,Benzin,Otomatik
3.0 265BG M Excellence xDrive,Dizel,Otomatik
3.0 265BG M Sport xDrive,Dizel,Otomatik
3.0 265BG Pure Excellence xDrive,Dizel,Otomatik
2.0 258BG M Excellence,Benzin,Otomatik
2.0 258BG M Sport,Benzin,Otomatik
2.0 258BG Pure Excellence,Benzin,Otomatik
2.0 326 3BG M Excellence xDrive iPerformance,Hibrit,Otomatik
2.0 326 3BG M Sport xDrive iPerformance,Hibrit,Otomatik
2.0 326 3BG Pure Excellence xDrive iPerformance,Hibrit,Otomatik
3.0 400BG M Excellence xDrive,Dizel,Otomatik
3.0 400BG M Sport xDrive,Dizel,Otomatik
3.0 400BG Pure Excellence xDrive,Dizel,Otomatik
1.5 362 (266) 4BG Premium Techno,,
1.5 362 (266) 4BG Pure,,
3.0 370BG Pure,Benzin,Otomatik
3.0 431BG M Competition,Benzin,Otomatik
3.0 431BG Pure,Benzin,Otomatik
3.0 431BG M Competition,Benzin,Otomatik
3.0 431BG Pure,Benzin,Otomatik
3.0 431BG M Competition,Benzin,Otomatik
3.0 431BG Pure,Benzin,Otomatik
4.4 560BG Pure,,
4.4 560BG Pure,,
4.4 560BG Pure,,
6.6 609BG Luxury xDrive,,
6.6 609BG Pure xDrive,,
1.5 116BG Joy sDrive16d 2,,
1.5 116BG M Sport sDrive16d 2,,
1.5 116BG Prestige sDrive16d 2,,
1.5 116BG Sport Line sDrive16d 2,,
1.5 116BG X Line sDrive16d 2,,
1.5 136BG Joy sDrive18i,,
1.5 136BG M Sport sDrive18i,,
1.5 136BG Prestige sDrive18i,,
1.5 136BG Sport Line sDrive18i,,
1.5 136BG X Line sDrive18i,,
1.6 170BG Joy sDrive20i,,
1.6 170BG M Plus sDrive20i,,
1.6 170BG Prestige sDrive20i,,
1.6 170BG X Plus sDrive20i,,
2.0 190BG Joy xDrive20d,Dizel,Otomatik
2.0 190BG M Plus xDrive20d,Dizel,Otomatik
2.0 190BG Prestige xDrive20d,Dizel,Otomatik
2.0 190BG X Plus xDrive20d,Dizel,Otomatik
2.0 190BG Exclusive xDrive20d,Dizel,Otomatik
2.0 190BG Joy xDrive20d,Dizel,Otomatik
2.0 190BG M Sport xDrive20d,Dizel,Otomatik
2.0 190BG X Line xDrive20d,Dizel,Otomatik
2.0 231BG M Plus xDrive25d,Dizel,Otomatik
2.0 231BG Prestige xDrive25d,Dizel,Otomatik
2.0 231BG Pure xDrive25d,Dizel,Otomatik
2.0 313 3BG M Plus xDrive40e iPerformance 2,Hibrit,Otomatik
2.0 313 3BG Prestige xDrive40e iPerformance 2,Hibrit,Otomatik
2.0 313 3BG Pure xDrive40e iPerformance 2,Hibrit,Otomatik
3.0 313BG M Plus xDrive40d,Dizel,Otomatik
3.0 313BG Prestige Plus xDrive40d,Dizel,Otomatik
3.0 313BG Pure xDrive40d,Dizel,Otomatik
1.2 PURETECH 82HP M/T LIVE,,
1.6 HDI 92HP M/T ATTRACTION,,
1.6 HDI 92HP M/T CONFORT,,
1.6 HDI 92HP M/T EXCLUSIVE,,
1.6 HDI 92HP M/T FEEL,,
1.6 HDI 92HP M/T LIVE,,
1.6 HDI 92HP M/T SHINE,,
1.2 PURETECH 82HP BVM5 FEEL,,
1.2 PURETECH 82HP BVM5 LIVE,,
1.6 BLUEHDI 100HP S&S BVM5 SHINE,,
1.6 BLUEHDI 75HP S&S BVM5 FEEL,,
1.6 BLUEHDI 75HP S&S BVM5 LIVE,,
1.6 BLUEHDI 120HP EAT6 CONFORT,,
1.6 HDI 92HP M/T CONFORT,,
1.6 HDI 92HP M/T EASY,,
1.2 PURETECH 82HP ETG5 FEEL,,
1.2 PURETECH 82HP ETG5 SHINE,,
1.6 E-HDI 92HP ETG6 FEEL,,
1.6 E-HDI 92HP ETG6 SHINE,,
1.6 BLUEHDI 120HP EAT6 INTENSIVE 5K,,
1.6 BLUEHDI 120HP EAT6 INTENSIVE 7K,,
1.5 dCi 110 bg Ambiance 4x4,,
1.5 dCi 110 bg EDC Blackshadow,,
1.5 dCi 110 bg EDC Laureate 4x2,,
1.5 dCi 110 bg Laureate 4x2,,
1.5 dCi 110 bg Laureate 4x4,,
1.5 dCi 90 bg Ambiance 4x2,,
1.5 dCi 90 bg Laureate 4x2,,
1.6 16V 115 bg Ambiance 4x2,,
1.5 dCi 110 bg Stepway - 5 koltuklu,,
1.5 dCi 110 bg Stepway - 7 koltuklu,,
1.5 dCi 90 bg Laureate - 5 koltuklu,,
1.5 dCi 90 bg Laureate - 7 koltuklu,,
1.0 Sce 75 bg Ambiance,Benzin,Düz
1.5 dCi 90 bg Ambiance,,
1.0 90 bg Easy-R Stepway Turbo ,Benzin,Otomatik
1.0 90 bg Stepway Turbo,Benzin,Düz
1.0 Sce 75 bg Ambiance,Benzin,Düz
1.5 dCi 90 bg Easy-R Stepway,,
1.5 dCi 90 bg Stepway,,
0.9 105 HP Twinair 500 Sport,,
0.9 85 HP Twinair Dualogic 500 Sport,,
1.2 Fire 69 HP 500 Pop,,
1.2 Fire 69 HP Dualogic 500 Lounge,,
1.2 Fire 69 HP Dualogic 500 Sport,,
1.2 Fire 69 HP Dualogic 500C Lounge,,
1.2 Fire 69 HP Dualogic 500C Riva,,
1.3 M.Jet 95 HP Dualogic Popstar,,
1.3 M.Jet 95 HP Dualogic Rockstar,,
1.3 M.Jet 95 HP Popstar,,
1.3 M.Jet 95 HP Rockstar,,
1.4 Fire 95 HP Popstar,,
1.6 M.Jet 120 HP Rockstar,,
1.3 M.Jet 95 HP Dualogic (5 Koltuk) Lounge,,
1.3 M.Jet 95 HP Dualogic (7 Koltuk) Lounge,,
1.6 M.Jet 120 HP (7 Koltuk) Lounge,,
1.3 M.Jet 95 HP Cross,,
1.4 Multi Air 140 HP DCT Cross,,
1.4 Multi Air 140 HP DCT Cross Plus,,
1.4 Multi Air 170 HP AT9 4X4 Cross Plus,,
1.6 E-TORQ 110 HP Pop Plus,,
1.6 Multi Jet 120 HP Cross Plus,,
1.6 Multi Jet 120 HP DCT Cross,,
1.6 Multi Jet 120 HP DCT Cross Plus,,
1.6 M.Jet 105 HP Easy,,
1.6 M.Jet 105 HP Easy Maxi,,
1.6 M.Jet 105 HP Premio Plus (Gri / Black),,
1.6 M.Jet 105 HP Safeline,,
1.6 M.Jet 90 HP Conformatic Premio Plus (Gri / Black),,
1.3 M.Jet 95 HP Easy Plus,,
1.3 M.Jet 95 HP Urban Plus,,
1.4 Fire 95 HP Easy Plus,,
1.4 Fire 95 HP Lounge Plus,,
1.4 Fire 95 HP Urban Plus,,
1.4 T-Jet 120 HP Lounge Plus,,
1.6 E-Torq 110 HP AT6 Easy Plus,,
1.6 E-Torq 110 HP AT6 Lounge Plus,,
1.6 E-Torq 110 HP AT6 Urban Plus,,
1.6 M.Jet 120 HP DCT Easy Plus,,
1.6 M.Jet 120 HP DCT Lounge Plus,,
1.6 M.Jet 120 HP DCT Urban Plus,,
1.6 M.Jet 120 HP Lounge Plus,,
1.6 M.Jet 120 HP Urban Plus,,
1.3 M.Jet 95 HP Easy,,
1.3 M.Jet 95 HP Lounge,,
1.3 M.Jet 95 HP Urban,,
1.4 Fire 95 HP Easy,,
1.4 Fire 95 HP Lounge,,
1.4 Fire 95 HP Urban,,
1.6 E-Torq 110 HP AT6 Lounge,,
1.6 E-Torq 110 HP AT6 Urban,,
1.6 M.Jet 120 HP DCT Comfort,,
1.6 M.Jet 120 HP DCT Lounge,,
1.6 M.Jet 120 HP DCT Urban,,
1.6 M.Jet 120 HP Lounge,,
1.6 M.Jet 120 HP Urban,,
1.6 E-Torq 110 HP AT6 Lounge Plus,,
1.6 E-Torq 110 HP AT6 Urban Plus,,
1.6 M.Jet 120 HP DCT Lounge Plus,,
1.6 M.Jet 120 HP DCT Urban Plus,,
1.6 M.Jet 120 HP Lounge Plus,,
1.6 M.Jet 120 HP Urban Plus,,
1.3 M.Jet 75 HP Emotion,,
1.3 M.Jet 75 HP Pop,,
1.3 M.Jet 95 HP Premio,,
1.3 M.Jet 95 HP Pop,,
1.3 M.Jet 95 HP Urban,,
1.4 77 HP Pop,,
0.9 85 HP Twinair Dualogic Lounge S1,,
1.2 69 HP Pop S1,,
1.3 M.Jet 95 HP Cross S1,,
1.4 Fire 77 HP S&S Popstar,,
1.5L TDCi 95PS (215 Nm) Titanium,,
1.6L Ti-VCT 105PS (150 Nm) Titanium,,
1.6L Ti-VCT 105PS (150 Nm) Trend,,
1.5L EcoBoost 182PS (240 Nm) Titanium,,
1.5L EcoBoost 182PS (240 Nm) Trend,,
1.5L TDCi 120PS (300Nm) Titanium,,
1.5L TDCi 120PS (300Nm) Trend,,
1.6L TDCi  115PS (270Nm) Titanium,,
1.6L TDCi  115PS (270Nm) Trend,,
1.6L Ti-VCT 125PS (159 Nm) Trend,,
1.5L EcoBoost 182PS (240 Nm) Titanium,,
1.5L TDCi 120PS (270Nm) Titanium,,
1.5L TDCi 120PS (300Nm) Titanium,,
1.0L Ecoboost 100PS (170 Nm) ST Line ,Benzin,Otomatik
1.0L Ecoboost 140PS (180 Nm) ST Line ,Benzin,Düz
1.2L 82PS (114 Nm) Trend,,
1.2L 82PS (114 Nm) Trend X,,
1.4L  96PS (128 Nm) Titanium,,
1.5L TDCi 75PS (185 Nm) Titanium,,
1.5L TDCi 75PS (185 Nm) Trend,,
1.5L TDCi 75PS (185 Nm) Trend X,,
1.6L Ti-VCT  105PS (150 Nm) Titanium,,
1.6L Ti-VCT  105PS (150 Nm) Trend,,
1.6L Ti-VCT  105PS (150 Nm) Trend X,,
1.0L EcoBoost 125PS (170 Nm) Titanium,Benzin,Düz
1.0L EcoBoost 125PS (170 Nm) Titanium,Benzin,Otomatik
1.5L TDCi 120PS (300 Nm) Style,,
1.5L TDCi 120PS (300 Nm) Titanium,,
1.5L TDCi 120PS (300 Nm) Trend X,,
1.6L TDCi 115PS (270 Nm) Style,,
1.6L TDCi 115PS (270 Nm) Titanium,,
1.6L TDCi 95PS (230 Nm) Trend X,,
1.6L Ti-VCT 125PS (159 Nm) Style,,
1.6L Ti-VCT 125PS (159 Nm) Style,,
1.6L Ti-VCT 125PS (159 Nm) Titanium,,
1.6L Ti-VCT 125PS (159 Nm) Titanium,,
1.6L Ti-VCT 125PS (159 Nm) Trend X,,
1.6L Ti-VCT 125PS (159 Nm) Trend X,,
1.0L EcoBoost 125PS (170 Nm) ST Line ,Benzin,Otomatik
1.0L EcoBoost 125PS (170 Nm) Titanium,Benzin,Düz
1.0L EcoBoost 125PS (170 Nm) Titanium,Benzin,Otomatik
